country,id,name,position,age,club,apps,goals,assists,minutes
jpn,jpn-suzuki-zion,鈴木彩艶,GK,23,パルマ・カルチョ1913,23,0,,
jpn,jpn-osako-keisuke,大迫敬介,GK,26,サンフレッチェ広島,11,0,,
jpn,jpn-hayakawa-yuki,早川友基,GK,27,鹿島アントラーズ,3,0,,
jpn,jpn-tani-kosei,谷晃生,GK,25,FC町田ゼルビア,3,0,,
jpn,jpn-kokubo-reo-brian,小久保玲央ブライアン,GK,25,シント＝トロイデンVV,0,0,,
jpn,jpn-nozawa-taishi-brandon,野澤大志ブランドン,GK,23,ロイヤル・アントワープFC,0,0,,
jpn,jpn-taniguchi-shogo,谷口彰悟,DF,34,シント＝トロイデンVV,37,1,,
jpn,jpn-seko-ayumu,瀬古歩夢,DF,25,ル・アーヴルAC,13,0,,
jpn,jpn-sugawara-yukinari,菅原由勢,DF,25,SVヴェルダー・ブレーメン,20,2,,
jpn,jpn-hashioka-daiki,橋岡大樹,DF,26,KAAヘント,12,0,,
jpn,jpn-ito-hiroki,伊藤洋輝,DF,26,FCバイエルン・ミュンヘン,23,1,,
jpn,jpn-watanabe-tsuyoshi,渡辺剛,DF,29,フェイエノールト・ロッテルダム,10,0,,
jpn,jpn-suzuki-junnosuke,鈴木淳之介,DF,22,FCコペンハーゲン,6,0,,
jpn,jpn-itakura-ko,板倉滉,DF,29,アヤックス・アムステルダム,39,2,,
jpn,jpn-machida-koki,町田浩樹,DF,28,TSG1899ホッフェンハイム,17,0,,
jpn,jpn-araki-hayato,荒木隼人,DF,29,サンフレッチェ広島,4,0,,
jpn,jpn-takai-kota,高井幸大,DF,21,ボルシア・メンヒェングラートバッハ,4,0,,
jpn,jpn-ando-tomoya,安藤智哉,DF,27,FCザンクトパウリ,3,0,,
jpn,jpn-nagatomo-yuto,長友佑都,DF,39,FC東京,144,4,,
jpn,jpn-sekine-daiki,関根大輝,DF,23,スタッド・ランス,3,0,,
jpn,jpn-hatate-reo,旗手怜央,MF,28,セルティックFC,11,0,,
jpn,jpn-morita-hidemasa,守田英正,MF,30,スポルティングCP,40,6,,
jpn,jpn-endo-wataru,遠藤航,MF,33,リヴァプールFC,72,4,,
jpn,jpn-ito-junya,伊東純也,MF,33,KRCヘンク,68,15,,
jpn,jpn-kamada-daichi,鎌田大地,MF,29,クリスタル・パレスFC,49,12,,
jpn,jpn-doan-ritsu,堂安律,MF,27,アイントラハト・フランクフルト,64,11,,
jpn,jpn-nakamura-keito,中村敬斗,MF,25,スタッド・ランス,24,10,,
jpn,jpn-tanaka-ao,田中碧,MF,27,リーズ・ユナイテッド,37,8,,
jpn,jpn-mitoma-kaoru,三笘薫,MF,28,ブライトン&ホーヴ・アルビオン,31,9,,
jpn,jpn-sano-kaishu,佐野海舟,MF,25,1.FSVマインツ05,12,0,,
jpn,jpn-fujita-joru-chima,藤田譲瑠チマ,MF,24,FCザンクトパウリ,8,0,,
jpn,jpn-suzuki-yuito,鈴木唯人,MF,24,SCフライブルク,6,0,,
jpn,jpn-sano-kodai,佐野航大,MF,22,NECナイメヘン,2,0,,
jpn,jpn-sato-ryunosuke,佐藤龍之介,MF,19,FC東京,5,0,,
jpn,jpn-kitano-sota,北野颯太,MF,21,レッドブル・ザルツブルク,1,0,,
jpn,jpn-morishita-tatsuya,森下龍矢,MF,29,ブラックバーン・ローヴァーズ,3,1,,
jpn,jpn-minamino-takumi,南野拓実,MF,31,ASモナコ,73,26,,
jpn,jpn-saito-koki,斉藤光毅,MF,24,クイーンズ・パーク・レンジャーズ,1,0,,
jpn,jpn-ogawa-koki,小川航基,FW,28,NECナイメヘン,14,10,,
jpn,jpn-maeda-daizen,前田大然,FW,28,セルティックFC,27,4,,
jpn,jpn-ueda-ayase,上田綺世,FW,27,フェイエノールト・ロッテルダム,38,16,,
jpn,jpn-machino-shuto,町野修斗,FW,26,ボルシア・メンヒェングラートバッハ,14,5,,
jpn,jpn-goto-keisuke,後藤啓介,FW,20,シント＝トロイデンVV,3,0,,
jpn,jpn-shiogai-kento,塩貝健人,FW,21,VfLヴォルフスブルク,1,0,,
jpn,jpn-hyotsumitate-kota,俵積田晃太,FW,21,FC東京,3,0,,
jpn,jpn-kubo-takefusa,久保建英,FW,24,レアル・ソシエダ,48,7,,
jpn,jpn-soma-yuki,相馬勇紀,FW,29,FC町田ゼルビア,19,5,,
jpn,jpn-furuhashi-kyogo,古橋亨梧,FW,31,バーミンガム・シティ,23,5,,
jpn,jpn-hosoya-mao,細谷真大,FW,24,柏レイソル,9,3,,
